"entryACCESSION","entrez_symbol","entryTYPE","OMIM","UNIPROT","ROLE","pathway","source","activity","deviation","label"
"kegg_154","ADRB2","gene","109690|600807|601665","P07550",NA,"Calcium signaling pathway|cAMP signaling pathway","KEGG",1,0,"ADRB2"
"kegg_155","ADRB3","gene","109691|601665","A8KAG8|P13945",NA,"Calcium signaling pathway","KEGG",1,0,"ADRB3"
"kegg_4301","AFDN","gene","159559","P55196|A8MQ02|G1UI22",NA,"Adherens junction|cAMP signaling pathway","KEGG",1,0,"AFDN"
"kegg_375790","AGRN","gene","103320|615120","O00468",NA,"ECM-receptor interaction","KEGG",1,0,"AGRN"
"kegg_183","AGT","gene","106150|145500|267430","B0ZBE2|B2R5S1|P01019",NA,"Pathways in cancer","KEGG",1,0,"AGT"
"kegg_185","AGTR1","gene","106165|145500|267430","P30556|Q53YY0|D3DNG8|Q6NUP5|A0A0A0MSE3",NA,"Pathways in cancer|Calcium signaling pathway","KEGG",1,0,"AGTR1"
"kegg_84883","AIFM2","gene","605159","Q9BRQ8",NA,"p53 signaling pathway","KEGG",1,0,"AIFM2"
"kegg_207","AKT1","gene","114480|114500|164730|167000|176920|615109","B0LPE5|P31749|B3KVH4","ONCOGENE","Melanoma|Apoptosis|Breast cancer|Endometrial cancer|Focal adhesion|Prostate cancer|Pancreatic cancer|PI3K-Akt signaling pathway|cAMP signaling pathway|Chronic myeloid leukemia|Gastric cancer|Renal cell carcinoma|Colorectal cancer|VEGF signaling pathway|Hepatocellular carcinoma|MAPK signaling pathway|mTOR signaling pathway|Non-small cell lung cancer|HIF-1 signaling pathway|Small cell lung cancer|Pathways in cancer|Estrogen signaling pathway|Glioma|JAK-STAT signaling pathway|Acute myeloid leukemia","KEGG",1,0,"AKT1"
"kegg_84335","AKT1S1","gene","610221","A0A024QZF6|Q96B36",NA,"mTOR signaling pathway","KEGG",1,0,"AKT1S1"
"kegg_208","AKT2","gene","125853|164731|240900","B4DG79|P31751",NA,"Acute myeloid leukemia|Pathways in cancer|Focal adhesion|Colorectal cancer|Breast cancer|Pancreatic cancer|Small cell lung cancer|Hepatocellular carcinoma|Gastric cancer|Glioma|Chronic myeloid leukemia|Melanoma|Renal cell carcinoma|JAK-STAT signaling pathway|Prostate cancer|Endometrial cancer|Non-small cell lung cancer|mTOR signaling pathway|MAPK signaling pathway|Apoptosis|VEGF signaling pathway|PI3K-Akt signaling pathway|cAMP signaling pathway|Estrogen signaling pathway|HIF-1 signaling pathway","KEGG",1,0,"AKT2"
"kegg_10000","AKT3","gene","611223|615937","Q9Y243",NA,"Acute myeloid leukemia|Pathways in cancer|Colorectal cancer|Breast cancer|Pancreatic cancer|Small cell lung cancer|Hepatocellular carcinoma|Gastric cancer|Glioma|Chronic myeloid leukemia|Melanoma|Renal cell carcinoma|JAK-STAT signaling pathway|Prostate cancer|Endometrial cancer|Focal adhesion|PI3K-Akt signaling pathway|Non-small cell lung cancer|mTOR signaling pathway|Apoptosis|MAPK signaling pathway|Estrogen signaling pathway|cAMP signaling pathway|VEGF signaling pathway|HIF-1 signaling pathway","KEGG",1,0,"AKT3"
"kegg_226","ALDOA","gene","103850|611881","P04075|V9HWN7",NA,"HIF-1 signaling pathway","KEGG",1,0,"ALDOA"
"kegg_229","ALDOB","gene","229600|612724","A0A024R145|P05062",NA,"HIF-1 signaling pathway","KEGG",1,0,"ALDOB"
"kegg_230","ALDOC","gene","103870","A0A024QZ64|P09972",NA,"HIF-1 signaling pathway","KEGG",1,0,"ALDOC"
"kegg_238","ALK","gene","105590|613014","B6D4Y2|Q9UM73","ONCOGENE","Non-small cell lung cancer|Pathways in cancer","KEGG",1,0,"ALK"
"kegg_268","AMH","gene","261550|600957","P03971",NA,"cAMP signaling pathway|Cytokine-cytokine receptor interaction|TGF-beta signaling pathway","KEGG",1,0,"AMH"
"kegg_269","AMHR2","gene","261550|600956","Q16671",NA,"Cytokine-cytokine receptor interaction|TGF-beta signaling pathway","KEGG",1,0,"AMHR2"
"kegg_C00020","AMP","compound",NA,NA,NA,"mTOR signaling pathway|PI3K-Akt signaling pathway","KEGG",1,0,"AMP"
"kegg_64682","ANAPC1","gene","608473|618625","Q9H1A4",NA,"Cell cycle","KEGG",1,0,"ANAPC1"
"kegg_10393","ANAPC10","gene","613745","Q9UM13",NA,"Cell cycle","KEGG",1,0,"ANAPC10"
"kegg_51529","ANAPC11","gene","614534","A0A024R8S1|Q9NYG5",NA,"Cell cycle","KEGG",1,0,"ANAPC11"
"kegg_25847","ANAPC13","gene","614484","A8K3Z6|Q9BS18",NA,"Cell cycle","KEGG",1,0,"ANAPC13"
"kegg_25906","ANAPC15","gene","614717","P60006|A0A024R5G0|G5EA39",NA,"Cell cycle","KEGG",1,0,"ANAPC15"
"kegg_119504","ANAPC16","gene","613427","C5H3H2|Q96DE5|A0A087WUN5",NA,"Cell cycle","KEGG",1,0,"ANAPC16"
"kegg_29882","ANAPC2","gene","606946","Q9UJX6",NA,"Cell cycle","KEGG",1,0,"ANAPC2"
"kegg_29945","ANAPC4","gene","606947","B3KN47|Q9UJX5",NA,"Cell cycle","KEGG",1,0,"ANAPC4"
"kegg_51433","ANAPC5","gene","606948","Q9UJX4|F5H0F9|B4DFK4",NA,"Cell cycle","KEGG",1,0,"ANAPC5"
"kegg_51434","ANAPC7","gene","606949|619699","Q9UJX3|A0A024RBJ3|Q4KMX6|Q69YV3",NA,"Cell cycle","KEGG",1,0,"ANAPC7"
"kegg_284","ANGPT1","gene","601667|619361","Q15389|B4DTQ9",NA,"MAPK signaling pathway|PI3K-Akt signaling pathway|HIF-1 signaling pathway","KEGG",1,0,"ANGPT1"
"kegg_285","ANGPT2","gene","601922|619369","O15123",NA,"MAPK signaling pathway|HIF-1 signaling pathway|PI3K-Akt signaling pathway","KEGG",1,0,"ANGPT2"
"kegg_51378","ANGPT4","gene","603705","Q9Y264",NA,"MAPK signaling pathway|HIF-1 signaling pathway|PI3K-Akt signaling pathway","KEGG",1,0,"ANGPT4"
"kegg_51129","ANGPTL4","gene","605910|615881","Q9BY76",NA,"PPAR signaling pathway","KEGG",1,0,"ANGPTL4"
"kegg_316","AOX1","gene","602841","Q06278",NA,"JAK-STAT signaling pathway","KEGG",1,0,"AOX1"
"kegg_317","APAF1","gene","602233","O14727",NA,"Pathways in cancer|p53 signaling pathway|Small cell lung cancer|Apoptosis","KEGG",1,0,"APAF1"
"kegg_324","APC","gene","114500|114550|135290|175100|611731|613659|619182","P25054|Q4LE70","TUMOUR SUPPRESSOR","Gastric cancer|Wnt signaling pathway|Breast cancer|Hepatocellular carcinoma|Endometrial cancer","KEGG",1,0,"APC"
"kegg_10297","APC2","gene","612034|617169|618677","O95996",NA,"Hepatocellular carcinoma|Gastric cancer|Endometrial cancer|Breast cancer|Wnt signaling pathway","KEGG",1,0,"APC2"
"kegg_147495","APCDD1","gene","605389|607479","Q8J025",NA,"Wnt signaling pathway","KEGG",1,0,"APCDD1"
"kegg_164284","APCDD1L","gene",NA,"B4DDQ9|Q8NCL9",NA,"Wnt signaling pathway","KEGG",1,0,"APCDD1L"
"kegg_51107","APH1A","gene","607629","Q96BI3|B4DUG7",NA,"Notch signaling pathway","KEGG",1,0,"APH1A"
"kegg_83464","APH1B","gene","607630","Q8WW43",NA,"Notch signaling pathway","KEGG",1,0,"APH1B"
"kegg_335","APOA1","gene","105200|107680|618463","A0A024R3E3|P02647",NA,"PPAR signaling pathway","KEGG",1,0,"APOA1"
"kegg_336","APOA2","gene","107670|143890","P02652",NA,"PPAR signaling pathway","KEGG",1,0,"APOA2"
"kegg_116519","APOA5","gene","144650|145750|606368","A0A0B4RUS7|Q6Q788",NA,"PPAR signaling pathway","KEGG",1,0,"APOA5"
"kegg_345","APOC3","gene","107720|614028","A3KPE2|P02656",NA,"PPAR signaling pathway","KEGG",1,0,"APOC3"
"kegg_26060","APPL1","gene","604299|616511","Q9UKG1",NA,"Pathways in cancer|Colorectal cancer","KEGG",1,0,"APPL1"
"kegg_364","AQP7","gene","602974|614411","O14520|Q6P5T0|Q5T5M0|B7Z4U2|Q5T5M1",NA,"PPAR signaling pathway","KEGG",1,0,"AQP7"
"kegg_100509620","AQP7B","gene",NA,NA,NA,"PPAR signaling pathway","KEGG",1,0,"AQP7B"
"kegg_367","AR","gene","176807|300068|300633|312300|313200|313700","P10275|Q9NUA2|F1D8N5|A0A087WUX9|G4VV16","ONCOGENE","Prostate cancer|Pathways in cancer","KEGG",1,0,"AR"
"kegg_369","ARAF","gene","311010","P10398|Q96II5|A0A024R178","ONCOGENE","Gastric cancer|Acute myeloid leukemia|Bladder cancer|Hepatocellular carcinoma|Pathways in cancer|Glioma|Chronic myeloid leukemia|Renal cell carcinoma|MAPK signaling pathway|Non-small cell lung cancer|Colorectal cancer|Breast cancer|Pancreatic cancer|Melanoma|Prostate cancer|Endometrial cancer","KEGG",1,0,"ARAF"
"kegg_64411","ARAP3","gene","606647","Q05CH1|Q8WWN8|Q9H7C1",NA,"cAMP signaling pathway","KEGG",1,0,"ARAP3"
"kegg_374","AREG","gene","104640","P15514",NA,"Colorectal cancer|PI3K-Akt signaling pathway|MAPK signaling pathway","KEGG",1,0,"AREG"
"kegg_2909","ARHGAP35","gene","605277","Q9NRY4","TUMOUR SUPPRESSOR","Focal adhesion","KEGG",1,0,"ARHGAP35"
"kegg_394","ARHGAP5","gene","602680","Q13017","TUMOUR SUPPRESSOR","Focal adhesion","KEGG",1,0,"ARHGAP5"
"kegg_9459","ARHGEF6","gene","300267","B7Z3C7|Q15052|Q8N4Q3",NA,"Pancreatic cancer","KEGG",1,0,"ARHGEF6"
"kegg_8289","ARID1A","gene","603024|614607","O14497","TUMOUR SUPPRESSOR","Hepatocellular carcinoma","KEGG",1,0,"ARID1A"
"kegg_57492","ARID1B","gene","135900|614556","Q8NFD5","TUMOUR SUPPRESSOR","Hepatocellular carcinoma","KEGG",1,0,"ARID1B"
"kegg_196528","ARID2","gene","609539|617808","Q68CP9","TUMOUR SUPPRESSOR","Hepatocellular carcinoma","KEGG",1,0,"ARID2"
"kegg_405","ARNT","gene","126110","A8K6P0|P27540|Q53F30|B0AZM1",NA,"Pathways in cancer|Renal cell carcinoma|HIF-1 signaling pathway","KEGG",1,0,"ARNT"
"kegg_9915","ARNT2","gene","606036|615926","Q7Z3A3|Q86TN1|Q9HBZ2|X5DQN9",NA,"Pathways in cancer|Renal cell carcinoma","KEGG",1,0,"ARNT2"
"kegg_408","ARRB1","gene","107940","B7Z1Q3|P49407",NA,"MAPK signaling pathway|Hedgehog signaling pathway","KEGG",1,0,"ARRB1"
"kegg_409","ARRB2","gene","107941","P32121|Q59EM5|K7ENA6|Q68DZ5",NA,"MAPK signaling pathway|Hedgehog signaling pathway","KEGG",1,0,"ARRB2"
"kegg_C00072","Ascorbate","compound",NA,NA,NA,"HIF-1 signaling pathway","KEGG",1,0,"Ascorbate"
"kegg_444","ASPH","gene","600582|601552","Q12797|B7ZM96|B4DQ07",NA,"Calcium signaling pathway","KEGG",1,0,"ASPH"
"kegg_1386","ATF2","gene","123811","P15336|A4D7V5",NA,"MAPK signaling pathway|PI3K-Akt signaling pathway|Estrogen signaling pathway","KEGG",1,0,"ATF2"
"kegg_468","ATF4","gene","604064","P18848",NA,"MAPK signaling pathway|Prostate cancer|Apoptosis|PI3K-Akt signaling pathway|Estrogen signaling pathway","KEGG",1,0,"ATF4"
"kegg_1388","ATF6B","gene","600984","A0A1U9X796|Q99941|Q6AZW6",NA,"PI3K-Akt signaling pathway|Estrogen signaling pathway","KEGG",1,0,"ATF6B"
"kegg_472","ATM","gene","114480|208900|607585","A0A024R3C7|Q13315","TUMOUR SUPPRESSOR","Cell cycle|p53 signaling pathway|Apoptosis","KEGG",1,0,"ATM"
"kegg_C00002","ATP","compound",NA,NA,NA,"Calcium signaling pathway","KEGG",1,0,"ATP"
"kegg_476","ATP1A1","gene","182310|618036|618314","P05023",NA,"cAMP signaling pathway","KEGG",1,0,"ATP1A1"
"kegg_477","ATP1A2","gene","104290|182340|602481|619602|619605","A0A0S2Z3W6|P50993",NA,"cAMP signaling pathway","KEGG",1,0,"ATP1A2"
"kegg_478","ATP1A3","gene","128235|182350|601338|614820|619606","P13637|Q53ES0",NA,"cAMP signaling pathway","KEGG",1,0,"ATP1A3"
"kegg_480","ATP1A4","gene","607321","Q13733",NA,"cAMP signaling pathway","KEGG",1,0,"ATP1A4"
"kegg_481","ATP1B1","gene","145500|182330","A3KLL5|P05026",NA,"cAMP signaling pathway","KEGG",1,0,"ATP1B1"
"kegg_482","ATP1B2","gene","182331","P14415",NA,"cAMP signaling pathway","KEGG",1,0,"ATP1B2"
"kegg_483","ATP1B3","gene","601867","P54709",NA,"cAMP signaling pathway","KEGG",1,0,"ATP1B3"
"kegg_23439","ATP1B4","gene",NA,"Q9UN42",NA,"cAMP signaling pathway","KEGG",1,0,"ATP1B4"
"kegg_487","ATP2A1","gene","108730|601003","O14983|Q7Z675",NA,"Calcium signaling pathway","KEGG",1,0,"ATP2A1"
"kegg_488","ATP2A2","gene","101900|108740|124200","P16615|A0A0S2Z3L2",NA,"Calcium signaling pathway","KEGG",1,0,"ATP2A2"
"kegg_489","ATP2A3","gene","601929","A8K9K1|Q93084",NA,"Calcium signaling pathway","KEGG",1,0,"ATP2A3"
"kegg_490","ATP2B1","gene","108731","P20020|A0A024RBC7",NA,"cAMP signaling pathway|Calcium signaling pathway","KEGG",1,0,"ATP2B1"
"kegg_491","ATP2B2","gene","108733|601386","A0A024R2K6|Q01814|A0A024R2E4|Q4LE63",NA,"cAMP signaling pathway|Calcium signaling pathway","KEGG",1,0,"ATP2B2"
"kegg_492","ATP2B3","gene","300014|302500","Q16720",NA,"cAMP signaling pathway|Calcium signaling pathway","KEGG",1,0,"ATP2B3"
"kegg_493","ATP2B4","gene","108732","P23634|A0A024R968",NA,"cAMP signaling pathway|Calcium signaling pathway","KEGG",1,0,"ATP2B4"
"kegg_523","ATP6V1A","gene","607027|617403|618012","P38606",NA,"mTOR signaling pathway","KEGG",1,0,"ATP6V1A"
"kegg_525","ATP6V1B1","gene","192132|267300","P15313",NA,"mTOR signaling pathway","KEGG",1,0,"ATP6V1B1"
"kegg_526","ATP6V1B2","gene","124480|606939|616455","A0A140VK65|P21281",NA,"mTOR signaling pathway","KEGG",1,0,"ATP6V1B2"
"kegg_528","ATP6V1C1","gene","603097","A0A024R9I0|P21283",NA,"mTOR signaling pathway","KEGG",1,0,"ATP6V1C1"
"kegg_245973","ATP6V1C2","gene","618070","Q8NEY4|A0A0U1RR16",NA,"mTOR signaling pathway","KEGG",1,0,"ATP6V1C2"
"kegg_51382","ATP6V1D","gene","609398","A0A024R683|Q9Y5K8",NA,"mTOR signaling pathway","KEGG",1,0,"ATP6V1D"
"kegg_529","ATP6V1E1","gene","108746|617402","P36543|Q53Y06",NA,"mTOR signaling pathway","KEGG",1,0,"ATP6V1E1"
"kegg_90423","ATP6V1E2","gene","617385","A0A140VKA8|Q96A05",NA,"mTOR signaling pathway","KEGG",1,0,"ATP6V1E2"
"kegg_9296","ATP6V1F","gene","607160","Q16864|A4D1K0",NA,"mTOR signaling pathway","KEGG",1,0,"ATP6V1F"
"kegg_9550","ATP6V1G1","gene","607296","A0A024R883|O75348",NA,"mTOR signaling pathway","KEGG",1,0,"ATP6V1G1"
"kegg_534","ATP6V1G2","gene","606853","O95670|Q6NVJ2",NA,"mTOR signaling pathway","KEGG",1,0,"ATP6V1G2"
"kegg_127124","ATP6V1G3","gene","618071","Q96LB4",NA,"mTOR signaling pathway","KEGG",1,0,"ATP6V1G3"
"kegg_51606","ATP6V1H","gene","608861","A0A024R7U9|Q9UI12|A0A024R7X3|B3KUZ7",NA,"mTOR signaling pathway","KEGG",1,0,"ATP6V1H"
"kegg_545","ATR","gene","210600|601215|614564","Q13535","TUMOUR SUPPRESSOR","p53 signaling pathway|Cell cycle","KEGG",1,0,"ATR"
"kegg_6310","ATXN1","gene","164400|601556","P54253|Q96FF1",NA,"Notch signaling pathway","KEGG",1,0,"ATXN1"
"kegg_342371","ATXN1L","gene","614301","P0C7T5",NA,"Notch signaling pathway","KEGG",1,0,"ATXN1L"
"kegg_552","AVPR1A","gene","600821","P37288|X5D2B0",NA,"Calcium signaling pathway","KEGG",1,0,"AVPR1A"
"kegg_553","AVPR1B","gene","600264","P47901",NA,"Calcium signaling pathway","KEGG",1,0,"AVPR1B"
"kegg_8312","AXIN1","gene","114550|603816|607864","A0A0S2Z4R0|O15169|A0A0S2Z4S3","TUMOUR SUPPRESSOR","Breast cancer|Wnt signaling pathway|Gastric cancer|Endometrial cancer|Hepatocellular carcinoma","KEGG",1,0,"AXIN1"
"kegg_8313","AXIN2","gene","114500|604025|608615","Q9Y2T1|E7ES00","TUMOUR SUPPRESSOR","Gastric cancer|Endometrial cancer|Hepatocellular carcinoma|Wnt signaling pathway|Breast cancer","KEGG",1,0,"AXIN2"
"kegg_572","BAD","gene","603167","A0A024R562|Q92934",NA,"Acute myeloid leukemia|Pathways in cancer|Chronic myeloid leukemia|Colorectal cancer|Pancreatic cancer|Hepatocellular carcinoma|Melanoma|Renal cell carcinoma|Prostate cancer|Endometrial cancer|Non-small cell lung cancer|Apoptosis|VEGF signaling pathway|PI3K-Akt signaling pathway|Focal adhesion|cAMP signaling pathway","KEGG",1,0,"BAD"
"kegg_10458","BAIAP2","gene","605475","Q9UQB8",NA,"Adherens junction","KEGG",1,0,"BAIAP2"
